,name,markets,ships_from,products,sales,n_markets
0,Medicamentum,['darkfox'],['United Kingdom'],['Benzos'],155,1
1,deemzbeemz,['darkfox'],['United States'],['DMT'],3202,1
2,OrganicUKSoil,['darkfox'],['United Kingdom'],['Weed'],28,1
3,pharmatec,"['darkfox', 'asap']",[],[],522,2
4,chapowlini,['darkfox'],['Netherlands'],"['Cocaine', 'XTC Pills']",6,1
5,N8claw,['darkfox'],['Germany'],['Heroin'],113,1
6,lalilulelokill,['darkfox'],['United Kingdom'],['Concentrates'],933,1
7,QuantumDocs,['darkfox'],[],['Cards & CVV'],4237,1
8,Biosphere,['darkfox'],['France'],['Other'],12,1
9,deepmagic,['darkfox'],[],[],0,1
10,trusteelucky,['darkfox'],[],"['Fraud', 'Other', 'Accounts', 'Data & Scans', 'Cards & CVV', 'Malware', 'Drugs', 'E-Books', 'Videos & Photos', 'Databases', 'Hacking']",3004,1
11,Drugsdotcom,['darkfox'],['United States'],"['Hydrocodone', 'Oxycodone', 'Adderal', 'Opium', 'Morphine', 'Stimulants']",51,1
12,ICEGOD,"['darkfox', 'white house', 'torrez', 'empire', 'asap', 'wall street', 'dark0de', 'olympus']",['Canada'],['Methamphetamine'],3347,8
13,danielvitor61,"['darkfox', 'torrez', 'asap', 'dark0de']",[],[],176,4
14,hentaigod,['darkfox'],['Germany'],['Amphetamine'],1,1
15,mysteryland,"['silkroad', 'vice city', 'darkfox', 'apollon', 'torrez', 'empire', 'asap', 'invictus', 'world market', 'versus', 'dark0de']",['Germany'],"['Speed', 'Ecstasy']",2599,11
16,DopeNL,['darkfox'],['Netherlands'],"['MDMA', 'Cocaine', 'Heroin']",4,1
17,MobTies,['darkfox'],[],[],0,1
18,bolivianlord,['darkfox'],[],[],22,1
19,jaketheplug,['darkfox'],[],[],0,1
20,LaLaLandUK,['darkfox'],[],"['Other', 'E-Books']",35,1
21,UnKnoWn7GodZ,['darkfox'],[],[],0,1
