,name,products,completed_orders,ships_from
0,Medicamentum,['Benzos'],15,['United Kingdom']
1,deemzbeemz,['DMT'],0,['United States']
2,OrganicUKSoil,['Weed'],1,['United Kingdom']
3,pharmatec,[],0,[]
4,chapowlini,"['Cocaine', 'XTC Pills']",6,['Netherlands']
5,N8claw,['Heroin'],3,['Germany']
6,lalilulelokill,['Concentrates'],3,['United Kingdom']
7,QuantumDocs,['Cards & CVV'],0,[]
8,Biosphere,['Other'],0,['France']
9,deepmagic,[],0,[]
10,trusteelucky,"['Fraud', 'Other', 'Accounts', 'Data & Scans', 'Cards & CVV', 'Malware', 'Drugs', 'E-Books', 'Videos & Photos', 'Databases', 'Hacking']",175,[]
11,Drugsdotcom,"['Hydrocodone', 'Oxycodone', 'Adderal', 'Opium', 'Morphine', 'Stimulants']",51,['United States']
12,ICEGOD,['Methamphetamine'],0,['Canada']
13,danielvitor61,[],0,[]
14,hentaigod,['Amphetamine'],1,['Germany']
15,mysteryland,[],0,[]
16,DopeNL,"['MDMA', 'Cocaine', 'Heroin']",4,['Netherlands']
17,MobTies,[],0,[]
18,bolivianlord,[],0,[]
19,jaketheplug,[],0,[]
20,LaLaLandUK,"['Other', 'E-Books']",0,[]
21,UnKnoWn7GodZ,[],0,[]
22,mythbusters,"['Cocaine', 'Amphetamine', 'LSD', 'XTC Pills', 'MDMA', 'Weed', 'Heroin', 'Ketamine']",2,['Netherlands']
23,chemdelacreme,"['Adderal', 'Amphetamine', 'Weed', 'Benzos', 'Concentrates']",5,['United Kingdom']
24,SubWaYsFiNesT,[],0,[]
25,shroomery,['Mushrooms'],0,['Germany']
26,Popesstash,[],0,[]
27,mushroomchick,['Mushrooms'],3,['United States']
28,LauraSilver,['Weed'],12,['Germany']
29,LinRita20,[],0,[]
30,eternos,[],0,[]
31,Hackerprof,"['Services', 'Malware']",0,[]
32,Drmeds,"['Oxycodone', 'Methadone', 'Adderal', 'Relaxants']",4,['United States']
33,dutchconnect,"['Money', 'Weed', 'Services', 'Heroin', 'Fake IDs', 'LSD', 'Benzos', 'Dumps', 'Cocaine', 'Oxycodone']",0,['United Kingdom']
34,stonesthrowJ,"['Weed', 'Money', 'Drugs', 'Methadone', 'Codeine', 'XTC Pills', 'MDMA', 'Morphine']",0,['United States']
35,UStoUS,"['Stimulants', 'Adderal', 'Oxycodone', 'Morphine', 'Hydrocodone', 'Methadone']",64,['United States']
36,deerplug,[],0,[]
37,GermanDreams,[],0,[]
