,name,active_markets
0,fullzipp,['vice city']
1,k1to,['vice city']
2,mysteryland,['vice city']
3,CherryUK,['vice city']
4,Venture,['vice city']
5,mythbusters,['vice city']
6,shroomery,"['vice city', 'asap']"
7,TheWizzardNL,['vice city']
8,Crypto2Psychs,['vice city']
9,superhero,['vice city']
10,UStoUS,['vice city']
11,highsierraranch,['vice city']
12,redlemon,['vice city']
13,wwcs2020,['vice city']
14,XXXXTentacion,"['apollon', 'white house', 'vice city', 'empire', 'silkroad', 'icarus', 'pax romana', 'cryptonia']"
15,DailyPaper,"['apollon', 'white house', 'vice city', 'torrez']"
16,ExpressService,['vice city']
17,flexowned,['vice city']
18,ThePlace,['vice city']
19,Ctrel,['vice city']
20,WeedHunter1312,"['vice city', 'torrez']"
21,planetexpress,['vice city']
22,maxwis,['vice city']
23,==backatit28,"['white house', 'vice city']"
24,wearerotterdam,['vice city']
25,vangoghdrugs,['vice city']
26,LuckySupply,['vice city']
27,mrwhiteog,['vice city']
28,bojaxbrnbogglrs,['vice city']
29,tomandjerry,['vice city']
30,==melvinbankz,"['white house', 'vice city']"
31,VANSSHOP,['vice city']
32,Divinepharmacy,['vice city']
33,Brexitmooch,['vice city']
34,TulipNL,['vice city']
35,Empireteam,"['vice city', 'empire']"
36,==lloydspharma,"['white house', 'vice city']"
37,rxsub,['vice city']
38,speedygonzalez,['vice city']
39,mushmedic,['vice city']
40,ABCandy,['vice city']
41,Odessy007,['vice city']
42,usaelite,"['white house', 'vice city', 'torrez']"
43,TheOxyMen,"['white house', 'vice city', 'empire']"
44,DopeSeller,['vice city']
45,Gmail,"['vice city', 'torrez', 'world market']"
46,espn,['vice city']
47,HAZETIME,['vice city']
48,greencity,['vice city']
49,Copek,['vice city']
50,lloydspharma,['vice city']
51,blackmagicplc,['vice city']
52,ChillPharma,['vice city']
53,FrankMatthews,['vice city']
54,DoctorSuess,['vice city']
55,GreenConnection,"['vice city', 'monopoly', 'invictus']"
56,CzechShards,['vice city']
57,KeepTheDopeAlive,['vice city']
58,goodtripclub,"['vice city', 'asap']"
59,HeartKidnapper,"['vice city', 'asap']"
60,DrugsBakerynl,"['vice city', 'asap']"
61,YourDealer,['vice city']
62,PSteroids,['vice city']
63,neighborjiminl,['vice city']
64,CafeNero,['vice city']
65,thebestseller,['vice city']
66,MonPham,['vice city']
67,FlyingDrugzMan,['vice city']
68,Meds4ED,['vice city']
69,Shorestore,['vice city']
70,TrapgodInternat,"['vice city', 'empire', 'wall street']"
71,MiamiVice,['vice city']
72,maurelius,['vice city']
73,projeccao,['vice city']
74,SvenskaVaror,['vice city']
75,usapharm,['vice city']
76,MADvapes,"['white house', 'vice city']"
77,tartini,"['vice city', 'torrez']"
78,HappyShop,['vice city']
79,Seedless,['vice city']
80,blackmarket,['vice city']
81,PharmaWorldUK,['vice city']
82,jamesocean,"['white house', 'vice city', 'torrez', 'empire', 'asap']"
83,reddingtonn,"['vice city', 'torrez', 'cartel']"
84,theplugshop,['vice city']
85,DoctorXXL,['vice city']
86,==MonPham,"['white house', 'vice city']"
